Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[GET] /actuator/health,13959,0,6,7.3492547027422175,3.1459000310860574,92.66089997254312,49.0,23.320741725675017,0.0,6,7,9,9,12,14,18,21,50,90,93
GET,[GET] /api/soporte/election/status,14071,0,6,6.846248752690997,2.670500020030886,62.87680001696572,78.0,23.507855635931886,0.0,6,7,8,9,11,13,17,20,38,60,63
GET,[GET] /api/soporte/tickets,28161,0,9,10.489507191012585,5.237899953499436,324.8848000075668,84399.0,47.04745381021092,0.0,9,10,12,12,15,18,23,28,57,310,320
GET,[GET] /health,42493,0,6,6.6374609371623965,2.5662999833002687,91.60440001869574,83.99661120655166,70.99135168343783,0.0,6,7,8,9,11,13,17,20,42,70,92
,Aggregated,98684,0,7,7.86715629893033,2.5662999833002687,324.8848000075668,24138.776660856878,164.86740285525565,0.0,7,8,9,10,13,15,19,23,46,88,320
