Method,Name,Error,Occurrences,First Seen,Last Seen
GET,[GET] /api/soporte/tickets,CatchResponseError('Error 401: Token JWT no autorizado o no configurado'),2878,2026-09-22T05:07:19Z,2026-09-22T05:09:40Z
GET,[GET] /api/soporte/election/status,CatchResponseError('Código HTTP: 401'),1484,2026-09-22T05:07:23Z,2026-09-22T05:09:40Z
