Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[GET] /actuator/health,1428,0,4,4.820435434189434,2.3517999943578616,49.489099998027086,49.0,10.105330878260279,0.0,4,5,5,6,7,8,11,14,45,49,49
GET,[GET] /api/soporte/election/status,1484,1484,4,4.16198921853068,2.034400007687509,21.551999991061166,37.0,10.501618363682251,10.501618363682251,4,4,5,5,6,7,9,11,21,22,22
GET,[GET] /api/soporte/tickets,2878,2878,4,4.169943676045138,1.788900000974536,41.74899999634363,37.0,20.366346125793477,20.366346125793477,4,4,5,5,6,7,9,13,39,42,42
GET,[GET] /health,4219,0,4,4.2433255509788275,1.8410000047879294,81.36929999454878,83.99715572410524,29.856016089201763,0.0,4,4,5,5,6,7,10,13,43,81,81
,Aggregated,10009,4362,4,4.292502967285405,1.788900000974536,81.36929999454878,58.52232990308722,70.82931145693777,30.867964489475728,4,4,5,5,6,7,10,13,39,79,81
