Method,Name,Error,Occurrences,First Seen,Last Seen
GET,[GET] /api/secretario/matriculas,CatchResponseError('Error 401: No autorizado'),100,2026-09-09T12:28:31Z,2026-09-09T12:38:21Z
GET,[GET] /api/secretario/estudiantes,CatchResponseError('Error 401: Token JWT inválido'),132,2026-09-09T12:28:31Z,2026-09-09T12:38:27Z
GET,[GET] /api/soporte/election/status,CatchResponseError('Status HTTP 401'),55,2026-09-09T12:28:29Z,2026-09-09T12:38:12Z
GET,[GET] /health,CatchResponseError('Status HTTP 401'),179,2026-09-09T12:28:40Z,2026-09-09T12:38:24Z
GET,[GET] /api/soporte/tickets,CatchResponseError('Error 401: No autorizado'),99,2026-09-09T12:28:32Z,2026-09-09T12:38:24Z
