id_corrida,mecanismo,repeticion,tipo_manipulacion,eventos_totales,manipulaciones_inyectadas,manipulaciones_detectadas,tasa_deteccion_pct,tiempo_verificacion_ms,latencia_registro_ms,estado
72,M0,15,T2,47,1,0,0.0,0.522,1.89,NO_DETECTADO
73,M0,15,T3,59,1,0,0.0,0.249,1.291,NO_DETECTADO
74,M0,15,T4,48,1,0,0.0,0.27,1.375,NO_DETECTADO
75,M0,15,T5,62,1,0,0.0,0.36,1.283,NO_DETECTADO
76,M0,16,T1,45,1,0,0.0,0.407,1.269,NO_DETECTADO
77,M0,16,T2,56,1,0,0.0,0.524,1.26,NO_DETECTADO
78,M0,16,T3,58,1,0,0.0,0.225,2.567,NO_DETECTADO
79,M0,16,T4,57,1,0,0.0,0.305,1.255,NO_DETECTADO
80,M0,16,T5,46,1,0,0.0,0.406,2.53,NO_DETECTADO
81,M0,17,T1,62,1,0,0.0,0.283,1.647,NO_DETECTADO
82,M0,17,T2,61,1,0,0.0,0.29,1.304,NO_DETECTADO
83,M0,17,T3,48,1,0,0.0,0.521,1.577,NO_DETECTADO
84,M0,17,T4,45,1,0,0.0,0.418,1.32,NO_DETECTADO
85,M0,17,T5,54,1,0,0.0,0.419,1.915,NO_DETECTADO
86,M0,18,T1,48,1,0,0.0,0.391,2.0,NO_DETECTADO
87,M0,18,T2,50,1,0,0.0,0.521,1.644,NO_DETECTADO
88,M0,18,T3,58,1,0,0.0,0.349,2.057,NO_DETECTADO
89,M0,18,T4,61,1,0,0.0,0.242,1.782,NO_DETECTADO
90,M0,18,T5,55,1,0,0.0,0.393,1.387,NO_DETECTADO
91,M0,19,T1,59,1,0,0.0,0.267,1.862,NO_DETECTADO
92,M0,19,T2,45,1,0,0.0,0.5,1.292,NO_DETECTADO
93,M0,19,T3,45,1,0,0.0,0.345,2.004,NO_DETECTADO
94,M0,19,T4,57,1,0,0.0,0.568,1.75,NO_DETECTADO
95,M0,19,T5,47,1,0,0.0,0.341,1.417,NO_DETECTADO
96,M0,20,T1,45,1,0,0.0,0.404,1.439,NO_DETECTADO
97,M0,20,T2,48,1,0,0.0,0.33,1.787,NO_DETECTADO
98,M0,20,T3,45,1,0,0.0,0.246,1.827,NO_DETECTADO
99,M0,20,T4,65,1,0,0.0,0.279,1.609,NO_DETECTADO
100,M0,20,T5,45,1,0,0.0,0.546,1.351,NO_DETECTADO
101,M0,21,T1,51,1,0,0.0,0.545,1.257,NO_DETECTADO
102,M0,21,T2,46,1,0,0.0,0.275,1.254,NO_DETECTADO
103,M0,21,T3,58,1,0,0.0,0.211,2.256,NO_DETECTADO
104,M0,21,T4,47,1,0,0.0,0.322,1.931,NO_DETECTADO
105,M0,21,T5,46,1,0,0.0,0.378,1.391,NO_DETECTADO
106,M0,22,T1,52,1,0,0.0,0.229,1.311,NO_DETECTADO
107,M0,22,T2,47,1,0,0.0,0.468,1.383,NO_DETECTADO
108,M0,22,T3,62,1,0,0.0,0.389,1.325,NO_DETECTADO
109,M0,22,T4,47,1,0,0.0,0.311,1.278,NO_DETECTADO
110,M0,22,T5,63,1,0,0.0,0.255,1.532,NO_DETECTADO
111,M0,23,T1,64,1,0,0.0,0.527,1.429,NO_DETECTADO
112,M0,23,T2,52,1,0,0.0,0.588,1.955,NO_DETECTADO
113,M0,23,T3,56,1,0,0.0,0.485,1.442,NO_DETECTADO
114,M0,23,T4,54,1,0,0.0,0.341,1.519,NO_DETECTADO
115,M0,23,T5,45,1,0,0.0,0.348,1.625,NO_DETECTADO
116,M0,24,T1,64,1,0,0.0,0.287,1.301,NO_DETECTADO
117,M0,24,T2,45,1,0,0.0,0.411,1.619,NO_DETECTADO
118,M0,24,T3,57,1,0,0.0,0.373,1.263,NO_DETECTADO
119,M0,24,T4,47,1,0,0.0,0.435,1.267,NO_DETECTADO
120,M0,24,T5,57,1,0,0.0,0.578,2.122,NO_DETECTADO
121,M0,25,T1,62,1,0,0.0,0.373,1.428,NO_DETECTADO
122,M0,25,T2,52,1,0,0.0,0.231,1.412,NO_DETECTADO
123,M0,25,T3,60,1,0,0.0,0.484,1.627,NO_DETECTADO
124,M0,25,T4,61,1,0,0.0,0.449,1.389,NO_DETECTADO
125,M0,25,T5,59,1,0,0.0,0.253,1.718,NO_DETECTADO
126,M0,26,T1,58,1,0,0.0,0.521,1.552,NO_DETECTADO
127,M0,26,T2,59,1,0,0.0,0.221,1.729,NO_DETECTADO
128,M0,26,T3,45,1,0,0.0,0.331,1.277,NO_DETECTADO
129,M0,26,T4,56,1,0,0.0,0.469,1.616,NO_DETECTADO
130,M0,26,T5,63,1,0,0.0,0.257,2.237,NO_DETECTADO
131,M0,27,T1,50,1,0,0.0,0.428,1.654,NO_DETECTADO
132,M0,27,T2,60,1,0,0.0,0.361,1.448,NO_DETECTADO
133,M0,27,T3,51,1,0,0.0,0.475,1.941,NO_DETECTADO
134,M0,27,T4,64,1,0,0.0,0.434,1.462,NO_DETECTADO
135,M0,27,T5,57,1,0,0.0,0.551,1.549,NO_DETECTADO
136,M0,28,T1,55,1,0,0.0,0.391,1.36,NO_DETECTADO
137,M0,28,T2,62,1,0,0.0,0.452,1.499,NO_DETECTADO
138,M0,28,T3,61,1,0,0.0,0.43,2.753,NO_DETECTADO
139,M0,28,T4,57,1,0,0.0,0.261,1.465,NO_DETECTADO
140,M0,28,T5,46,1,0,0.0,0.468,1.349,NO_DETECTADO
141,M0,29,T1,56,1,0,0.0,0.509,1.422,NO_DETECTADO
142,M0,29,T2,57,1,0,0.0,0.288,1.361,NO_DETECTADO
143,M0,29,T3,63,1,0,0.0,0.264,1.925,NO_DETECTADO
144,M0,29,T4,45,1,0,0.0,0.331,2.561,NO_DETECTADO
145,M0,29,T5,51,1,0,0.0,0.206,1.333,NO_DETECTADO
146,M0,30,T1,57,1,0,0.0,0.268,1.261,NO_DETECTADO
147,M0,30,T2,64,1,0,0.0,0.203,2.324,NO_DETECTADO
148,M0,30,T3,50,1,0,0.0,0.206,1.326,NO_DETECTADO
149,M0,30,T4,48,1,0,0.0,0.44,1.865,NO_DETECTADO
150,M0,30,T5,54,1,0,0.0,0.279,1.32,NO_DETECTADO
151,M1,1,T1,64,1,0,0.0,0.555,4.63,NO_DETECTADO
152,M1,1,T2,49,1,0,0.0,0.599,4.566,NO_DETECTADO
153,M1,1,T3,64,1,0,0.0,0.371,6.085,NO_DETECTADO
154,M1,1,T4,53,1,0,0.0,0.377,4.438,NO_DETECTADO
155,M1,1,T5,45,1,0,0.0,0.255,5.652,NO_DETECTADO
156,M1,2,T1,49,1,0,0.0,0.397,4.38,NO_DETECTADO
157,M1,2,T2,64,1,0,0.0,0.542,4.221,NO_DETECTADO
158,M1,2,T3,61,1,0,0.0,0.329,4.151,NO_DETECTADO
159,M1,2,T4,52,1,0,0.0,0.337,3.987,NO_DETECTADO
160,M1,2,T5,49,1,0,0.0,0.377,4.357,NO_DETECTADO
161,M1,3,T1,54,1,0,0.0,0.249,4.173,NO_DETECTADO
162,M1,3,T2,59,1,0,0.0,0.47,5.279,NO_DETECTADO
163,M1,3,T3,65,1,0,0.0,0.523,4.223,NO_DETECTADO
164,M1,3,T4,49,1,0,0.0,0.214,4.315,NO_DETECTADO
165,M1,3,T5,45,1,0,0.0,0.513,4.152,NO_DETECTADO
166,M1,4,T1,63,1,0,0.0,0.576,3.995,NO_DETECTADO
167,M1,4,T2,52,1,0,0.0,0.207,4.38,NO_DETECTADO
168,M1,4,T3,53,1,0,0.0,0.258,3.837,NO_DETECTADO
169,M1,4,T4,55,1,0,0.0,0.201,3.906,NO_DETECTADO
170,M1,4,T5,50,1,0,0.0,0.379,4.474,NO_DETECTADO
171,M1,5,T1,47,1,0,0.0,0.469,4.296,NO_DETECTADO
172,M1,5,T2,60,1,0,0.0,0.487,4.47,NO_DETECTADO
173,M1,5,T3,49,1,0,0.0,0.346,4.142,NO_DETECTADO
174,M1,5,T4,46,1,0,0.0,0.301,5.84,NO_DETECTADO
175,M1,5,T5,51,1,0,0.0,0.216,4.177,NO_DETECTADO
176,M1,6,T1,57,1,0,0.0,0.232,4.223,NO_DETECTADO
177,M1,6,T2,58,1,0,0.0,0.459,3.8,NO_DETECTADO
178,M1,6,T3,51,1,0,0.0,0.414,4.361,NO_DETECTADO
