Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[GET] /actuator/health,1772,0,110,125.7667059818934,99.785400001565,7248.789200000829,49.0,5.9313950106583055,0.0,110,110,120,120,130,140,170,240,3300,7200,7200
GET,[GET] /api/soporte/election/status,1762,0,110,117.1818084562858,98.73929999957909,3265.0350000003527,78.0,5.897922126850979,0.0,110,110,120,120,130,140,160,210,1400,3300,3300
GET,[GET] /api/soporte/tickets,3419,0,320,400.78222532907216,212.8331000021717,12997.317199999088,85503.0,11.444378973725026,0.0,320,340,360,360,380,400,520,3500,8200,13000,13000
GET,[GET] /health,5283,0,110,119.08679494603035,98.85530000246945,3311.085200000889,83.99829642248723,17.683724515410738,0.0,110,110,120,120,130,140,180,230,1300,3300,3300
,Aggregated,12236,0,110,198.49157531871992,98.73929999957909,12997.317199999088,23945.961425302386,40.95742062664505,0.0,110,130,310,310,340,370,390,460,6100,9600,13000
