Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[GET] /actuator/health,428,0,4,4.646539486168528,2.54059999861056,24.155599996447563,49.0,6.429180730423279,0.0,4,5,5,5,6,7,10,18,24,24,24
GET,[GET] /api/soporte/election/status,478,0,4,4.675794769956235,2.03499999770429,51.06560000422178,78.0,7.180253245659643,0.0,4,4,5,5,6,9,19,25,51,51,51
GET,[GET] /api/soporte/tickets,909,0,6,7.220968316659489,4.1878999982145615,54.25950000062585,84567.0,13.654498326997103,0.0,6,7,7,8,9,12,20,24,54,54,54
GET,[GET] /health,1315,0,4,3.9081250189636663,1.8716000049607828,33.244799997191876,83.99315589353613,19.75320715071638,0.0,4,4,4,4,5,7,9,13,26,33,33
,Aggregated,3130,0,4,5.088432396134156,1.8716000049607828,54.25950000062585,24613.453674121407,47.0171394537964,0.0,4,5,6,6,7,9,14,20,33,54,54
