repeticion,mecanismo,tipo_evento,lamport_docA,lamport_docB,vector_docA,vector_docB,conflicto_detectado,reconciliacion_automatica,estrategia_resolucion
20,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
20,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
21,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
21,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
22,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
22,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
23,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
23,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
24,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
24,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
25,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
25,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
26,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
26,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
27,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
27,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
28,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
28,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
29,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
29,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
30,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
30,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
