id_corrida,mecanismo,repeticion,tipo_manipulacion,eventos_totales,manipulaciones_inyectadas,manipulaciones_detectadas,tasa_deteccion_pct,tiempo_verificacion_ms,latencia_registro_ms,estado
72,M0,15,T2,50,1,0,0.0,0.001,0.023,NO_DETECTADO
73,M0,15,T3,59,1,0,0.0,0.001,0.023,NO_DETECTADO
74,M0,15,T4,62,1,0,0.0,0.001,0.023,NO_DETECTADO
75,M0,15,T5,46,1,0,0.0,0.001,0.024,NO_DETECTADO
76,M0,16,T1,63,1,0,0.0,0.001,0.024,NO_DETECTADO
77,M0,16,T2,54,1,0,0.0,0.001,0.023,NO_DETECTADO
78,M0,16,T3,61,1,0,0.0,0.001,0.023,NO_DETECTADO
79,M0,16,T4,58,1,0,0.0,0.001,0.026,NO_DETECTADO
80,M0,16,T5,50,1,0,0.0,0.001,0.023,NO_DETECTADO
81,M0,17,T1,56,1,0,0.0,0.001,0.023,NO_DETECTADO
82,M0,17,T2,59,1,0,0.0,0.001,0.023,NO_DETECTADO
83,M0,17,T3,64,1,0,0.0,0.001,0.023,NO_DETECTADO
84,M0,17,T4,47,1,0,0.0,0.001,0.023,NO_DETECTADO
85,M0,17,T5,55,1,0,0.0,0.001,0.024,NO_DETECTADO
86,M0,18,T1,48,1,0,0.0,0.001,0.023,NO_DETECTADO
87,M0,18,T2,58,1,0,0.0,0.001,0.027,NO_DETECTADO
88,M0,18,T3,65,1,0,0.0,0.001,0.023,NO_DETECTADO
89,M0,18,T4,64,1,0,0.0,0.001,0.022,NO_DETECTADO
90,M0,18,T5,62,1,0,0.0,0.001,0.024,NO_DETECTADO
91,M0,19,T1,45,1,0,0.0,0.001,0.024,NO_DETECTADO
92,M0,19,T2,50,1,0,0.0,0.001,0.022,NO_DETECTADO
93,M0,19,T3,48,1,0,0.0,0.001,0.023,NO_DETECTADO
94,M0,19,T4,61,1,0,0.0,0.001,0.023,NO_DETECTADO
95,M0,19,T5,64,1,0,0.0,0.001,0.023,NO_DETECTADO
96,M0,20,T1,45,1,0,0.0,0.001,0.023,NO_DETECTADO
97,M0,20,T2,57,1,0,0.0,0.001,0.024,NO_DETECTADO
98,M0,20,T3,45,1,0,0.0,0.001,0.027,NO_DETECTADO
99,M0,20,T4,46,1,0,0.0,0.001,0.023,NO_DETECTADO
100,M0,20,T5,48,1,0,0.0,0.001,0.023,NO_DETECTADO
101,M0,21,T1,52,1,0,0.0,0.001,0.023,NO_DETECTADO
102,M0,21,T2,62,1,0,0.0,0.001,0.023,NO_DETECTADO
103,M0,21,T3,60,1,0,0.0,0.001,0.026,NO_DETECTADO
104,M0,21,T4,58,1,0,0.0,0.001,0.023,NO_DETECTADO
105,M0,21,T5,60,1,0,0.0,0.001,0.024,NO_DETECTADO
106,M0,22,T1,53,1,0,0.0,0.001,0.026,NO_DETECTADO
107,M0,22,T2,46,1,0,0.0,0.001,0.023,NO_DETECTADO
108,M0,22,T3,64,1,0,0.0,0.001,0.025,NO_DETECTADO
109,M0,22,T4,61,1,0,0.0,0.001,0.029,NO_DETECTADO
110,M0,22,T5,55,1,0,0.0,0.001,0.023,NO_DETECTADO
111,M0,23,T1,63,1,0,0.0,0.001,0.022,NO_DETECTADO
112,M0,23,T2,47,1,0,0.0,0.001,0.023,NO_DETECTADO
113,M0,23,T3,59,1,0,0.0,0.001,0.023,NO_DETECTADO
114,M0,23,T4,52,1,0,0.0,0.001,0.022,NO_DETECTADO
115,M0,23,T5,48,1,0,0.0,0.001,0.023,NO_DETECTADO
116,M0,24,T1,60,1,0,0.0,0.001,0.022,NO_DETECTADO
117,M0,24,T2,63,1,0,0.0,0.001,0.023,NO_DETECTADO
118,M0,24,T3,61,1,0,0.0,0.001,0.022,NO_DETECTADO
119,M0,24,T4,54,1,0,0.0,0.001,0.026,NO_DETECTADO
120,M0,24,T5,47,1,0,0.0,0.001,0.039,NO_DETECTADO
121,M0,25,T1,64,1,0,0.0,0.001,0.032,NO_DETECTADO
122,M0,25,T2,51,1,0,0.0,0.001,0.024,NO_DETECTADO
123,M0,25,T3,46,1,0,0.0,0.001,0.023,NO_DETECTADO
