Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[GET] /actuator/health,15153,11,140,179.19666200162303,108.01399988122284,5827.172699850053,49.001451857717946,25.312040074412153,0.018374740369467017,140,160,180,190,230,280,400,570,5000,5700,5800
GET,[GET] /api/soporte/election/status,15283,0,4,5.23469699130485,1.8361997790634632,280.31260007992387,78.0,25.5291960969604,0.0,4,5,6,7,8,10,12,15,58,250,280
GET,[GET] /api/soporte/tickets,30560,15,150,188.93707215554977,113.46849985420704,7420.566900167614,84954.3214986911,51.04836960826473,0.025056464140182293,150,170,190,200,240,290,400,590,4400,5100,7400
GET,[GET] /health,45739,0,4,5.0493703751610735,1.5678000636398792,299.72809995524585,83.9965237543453,76.40384088718653,0.0,4,5,6,6,8,9,12,15,61,260,300
,Aggregated,106735,26,7,82.4494211841645,1.5678000636398792,7420.566900167614,24377.950765915586,178.2934466668238,0.04343120450964931,7,120,140,150,190,230,290,370,4100,5200,7400
