Method,Name,Error,Occurrences,First Seen,Last Seen
GET,[GET] /api/soporte/tickets,CatchResponseError('Código HTTP: 500'),15,2026-09-06T21:16:00Z,2026-09-06T21:16:02Z
GET,[GET] /actuator/health,CatchResponseError('Código HTTP Actuator: 503'),11,2026-09-06T21:16:00Z,2026-09-06T21:16:03Z
