Method,Name,Error,Occurrences,First Seen,Last Seen
GET,[GET] /api/soporte/tickets,CatchResponseError('Error 401: Token JWT no autorizado o no configurado'),4011,2026-09-22T04:59:29Z,2026-09-22T05:04:27Z
GET,[GET] /api/soporte/election/status,CatchResponseError('Código HTTP: 401'),2134,2026-09-22T04:59:29Z,2026-09-22T05:04:27Z
