Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%

GET,[GET] /actuator/health,2059,0,3,2.923163865992744,1.454999997804407,36.641899998357985,49.0,6.880417168296169,0.0,3,3,3,3,4,4,5,6,13,37,37

GET,[GET] /api/soporte/election/status,2007,0,2,2.525567613418472,1.1035999996238388,18.771399998513516,78.0,6.70665238308422,0.0,2,3,3,3,3,4,5,6,11,19,19

GET,[GET] /api/soporte/tickets,4205,0,4,4.32315819261422,2.3585000017192215,311.86699999670964,84567.0,14.051556188773866,0.0,4,4,4,5,5,6,8,9,16,310,310

GET,[GET] /health,6326,0,2,2.4161837180149686,1.021500000206288,34.17099999933271,83.99810306670882,21.139154447130434,0.0,2,2,3,3,3,4,4,5,17,34,34

,Aggregated,14597,0,3,3.0520837843608564,1.021500000206288,311.86699999670964,24415.49934918134,48.777780187284684,0.0,3,3,4,4,4,5,6,7,16,37,310

