Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[GET] /actuator/health,1302,0,4,7.233243241070426,2.402699989033863,1224.8474000080023,49.0,3.174840141078082,0.0,4,5,5,5,6,7,9,11,1200,1200,1200
GET,[GET] /api/soporte/election/status,1238,0,4,184.47777512125967,2.046099994913675,222027.46769999794,78.0,3.0187804106410643,0.0,4,4,4,5,5,6,9,12,1200,222000,222000
GET,[GET] /api/soporte/tickets,2572,0,7,11.975217923735363,3.9822999970056117,1229.7385999991093,84651.0,6.271650416937655,0.0,7,7,8,8,10,15,26,34,1200,1200,1200
GET,[GET] /health,4003,0,4,62.76119835130129,1.8804999999701977,222044.19879999477,83.99925056207844,9.761048452177851,0.0,4,4,4,4,5,6,9,14,1200,222000,222000
,Aggregated,9115,0,4,57.030664377410815,1.8804999999701977,222044.19879999477,23940.64541963796,22.226319420834653,0.0,4,5,6,6,8,9,15,24,1200,222000,222000
