Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%

GET,[GET] /actuator/health,14100,0,5,5.300244666686148,2.1715000038966537,145.4812000010861,49.0,23.53856252598833,0.0,5,5,6,7,8,10,12,15,42,130,150

GET,[GET] /api/soporte/election/status,13996,0,4,4.879281766280583,1.8525000050431117,164.31780000857543,78.0,23.364944759839194,0.0,4,5,6,6,8,9,11,14,38,150,160

GET,[GET] /api/soporte/tickets,28073,0,7,7.621331735121495,3.654700005427003,204.25330000580288,84651.0,46.865111049083005,0.0,7,8,8,9,11,13,17,24,51,180,200

GET,[GET] /health,42705,0,4,4.706334668087768,1.796900003682822,208.48889999615494,83.99655778011942,71.29179522498805,0.0,4,5,5,6,7,9,11,14,36,150,210

,Aggregated,98874,0,5,5.643157404392374,1.796900003682822,208.48889999615494,24089.014139207477,165.0604135598986,0.0,5,6,7,7,9,11,14,17,42,150,210

