Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[GET] /actuator/health,382,0,4,4.617057591588334,2.6354000001447275,22.903200006112456,49.0,6.8889990687909295,0.0,4,5,5,5,6,7,10,20,23,23,23
GET,[GET] /api/soporte/election/status,382,0,4,3.9293251309439623,1.9428999949013814,17.099299999244977,78.0,6.8889990687909295,0.0,4,4,4,4,5,7,10,14,17,17,17
GET,[GET] /api/soporte/tickets,719,0,6,7.383030041610976,3.988100004789885,61.49059999734163,84567.0,12.966466833666697,0.0,6,7,7,8,9,13,21,32,61,61,61
GET,[GET] /health,1060,0,3,4.06445660380584,1.834000002418179,40.82550000021001,84.0,19.116070714446035,0.0,3,4,4,4,5,7,14,18,38,41,41
,Aggregated,2543,0,4,5.0654505701768855,1.834000002418179,61.49059999734163,23964.304758159655,45.86053568569459,0.0,4,5,6,6,7,9,15,21,44,61,61
